height_m,height_cm,height_mm,V_cylinder_m3,V_heads_m3,V_total_m3,V_total_liters,V_net_m3,V_net_liters
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,5.0,50.0,0.27125171027433836,0.14607018302437202,0.4173218932987104,417.3218932987104,0.4173218932987104,417.3218932987104
0.1,10.0,100.0,0.7637274464370447,0.29214036604874405,1.0558678124857888,1055.8678124857888,1.0558678124857888,1055.8678124857888
0.15,15.0,150.0,1.396613387135146,0.438210549073116,1.8348239362082621,1834.823936208262,1.8348239362082621,1834.823936208262
0.2,20.0,200.0,2.140251338637511,0.5842807320974881,2.724532070734999,2724.5320707349993,2.724532070734999,2724.5320707349993
0.25,25.0,250.0,2.9770722580212006,0.7303509151218601,3.7074231731430607,3707.4231731430605,3.7074231731430607,3707.4231731430605
0.3,30.0,300.0,3.894928268690221,0.876421098146232,4.771349366836453,4771.349366836453,4.771349366836453,4771.349366836453
0.35,35.0,350.0,4.884678942145508,1.0224912811706042,5.907170223316113,5907.170223316113,5.907170223316113,5907.170223316113
0.4,40.0,400.0,5.939063591248073,1.1685614641949762,7.107625055443049,7107.625055443049,7.107625055443049,7107.625055443049
0.45,45.0,450.0,7.052091297954195,1.3146316472193482,8.366722945173544,8366.722945173544,8.366722945173544,8366.722945173544
0.5,50.0,500.0,8.218677255524053,1.4607018302437202,9.679379085767774,9679.379085767774,9.679379085767774,9679.379085767774
0.6,60.0,600.0,10.695395703160639,1.752842196292464,12.448237899453103,12448.237899453103,12.448237899453103,12448.237899453103
0.7,70.0,700.0,13.339498294470932,2.0449825623412083,15.38448085681214,15384.480856812139,15.38448085681214,15384.480856812139
0.8,80.0,800.0,16.12664935251525,2.3371229283899524,18.463772280905204,18463.772280905203,18.463772280905204,18463.772280905203
0.9,90.0,900.0,19.036117580932036,2.6292632944386964,21.665380875370733,21665.380875370734,21.665380875370733,21665.380875370734
1.0,100.0,1000.0,22.049704127538185,2.9214036604874405,24.971107788025627,24971.107788025627,24.971107788025627,24971.107788025627
1.1,110.00000000000001,1100.0,25.15104778033301,3.2135440265361845,28.364591806869193,28364.591806869194,28.364591806869193,28364.591806869194
1.2,120.0,1200.0,28.325147298247227,3.505684392584928,31.830831690832156,31830.831690832158,31.830831690832156,31830.831690832158
1.3,130.0,1300.0,31.558016114932816,3.7978247586336726,35.355840873566486,35355.840873566485,35.355840873566486,35355.840873566485
1.4,140.0,1400.0,34.83642105964868,4.089965124682417,38.92638618433109,38926.386184331095,38.92638618433109,38926.386184331095
1.5,150.0,1500.0,38.14767570360571,4.382105490731161,42.52978119433687,42529.78119433687,42.52978119433687,42529.78119433687
1.6,160.0,1600.0,41.479469367646466,4.674245856779905,46.15371522442637,46153.71522442637,46.15371522442637,46153.71522442637
1.7,170.0,1700.0,44.81971875430653,4.966386222828649,49.786104977135174,49786.104977135175,49.786104977135174,49786.104977135175
1.8,180.0,1800.0,48.15643254116159,5.258526588877393,53.41495913003899,53414.95913003899,53.41495913003899,53414.95913003899
1.9,190.0,1900.0,51.47758106273997,5.550666954926137,57.02824801766611,57028.248017666105,57.02824801766611,57028.248017666105
2.0,200.0,2000.0,54.770963881825935,5.842807320974881,60.61377120280082,60613.77120280082,60.61377120280082,60613.77120280082
2.1,210.0,2100.0,58.02406777364597,6.134947687023625,64.1590154606696,64159.015460669594,64.1590154606696,64159.015460669594
2.2,220.00000000000003,2200.0,61.22390635055629,6.427088053072369,67.65099440362866,67650.99440362866,67.65099440362866,67650.99440362866
2.3,229.99999999999997,2300.0,64.3568299121386,6.719228419121112,71.0760583312597,71076.0583312597,71.0760583312597,71076.0583312597
2.4,240.0,2400.0,67.4082893896765,7.011368785169856,74.41965817484635,74419.65817484635,74.41965817484635,74419.65817484635
2.5,250.0,2500.0,70.36253000391703,7.303509151218601,77.66603915513564,77666.03915513563,77.66603915513564,77666.03915513563
2.6,260.0,2600.0,73.20217549561808,7.595649517267345,80.79782501288543,80797.82501288543,80.79782501288543,80797.82501288543
2.7,270.0,2700.0,75.90763613950735,7.887789883316089,83.79542602282343,83795.42602282343,83.79542602282343,83795.42602282343
2.8,280.0,2800.0,78.45621845629077,8.179930249364833,86.6361487056556,86636.1487056556,86.6361487056556,86636.1487056556
2.9,290.0,2900.0,80.82069387414003,8.472070615413577,89.2927644895536,89292.7644895536,89.2927644895536,89292.7644895536
3.0,300.0,3000.0,82.9667874809458,8.764210981462321,91.73099846240812,91730.99846240813,91.73099846240812,91730.99846240813
3.1,310.0,3100.0,84.84818985975629,9.056351347511065,93.90454120726736,93904.54120726735,93.90454120726736,93904.54120726735
3.2,320.0,3200.0,86.39446764091755,9.34849171355981,95.74295935447736,95742.95935447737,95.74295935447736,95742.95935447737
3.3,330.0,3300.0,87.46676998331274,9.640632079608553,97.1074020629213,97107.40206292129,97.1074020629213,97107.40206292129
